,Modele,Conso(kWh/100),Bat.kWh,Autonomie(Km),Puiss.Charge max(kW),Année
0,Audi E-tron 55 Quattro (2550 kg),28.0,95.0,340.0,150.0,2019
1,BMW I3 60 Ah (1270 kg),15.5,22.2,140.0,50.0,2013
2,BMW I3 94 Ah (1340 kg),15.5,33.2,210.0,50.0,2017
3,BMW I3s (1340 kg),16.0,33.3,210.0,50.0,2017
4,Citroen Berlingo (1604 kg),19.0,22.5,120.0,50.0,2017
5,Citroen C-Zero (1065 kg),13.0,14.5,110.0,50.0,2010
6,DS DS3 Crossback (1525 kg),20.0,46.0,230.0,100.0,2016
7,Honda E (1524 kg),22.0,35.5,160.0,100.0,2018
8,Honda E Advance (1537 kg),22.0,35.5,160.0,100.0,2018
9,Hyundai Ioniq (1495 kg),15.0,28.0,190.0,100.0,2018
10,Hyundai Kona  (1600 kg),15.5,39.0,250.0,77.0,2018
11,Hyundai Kona  (1760 kg),16.0,64.0,400.0,77.0,2018
12,Jaguar I-Pace (2150 kg),24.0,90.0,380.0,100.0,2019
13,Kia E-Niro (1600 kg),15.5,39.0,250.0,77.0,2019
14,Kia E-Niro (1740 kg),16.0,64.0,400.0,77.0,2014
15,Kia E-Soul (1535 kg),17.0,39.0,230.0,77.0,2014
16,Kia E-Soul (1680 kg),17.5,64.0,370.0,77.0,2019
17,Kia Soul EV (1490 kg),18.0,30.0,170.0,80.0,2017
18,Kia Soul EV (1490 kg),18.0,27.0,150.0,80.0,2017
19,Mercedes EQC 400 (2425 kg),27.0,80.0,300.0,110.0,2018
20,Mini Mini E (1440 kg),17.0,32.0,190.0,50.0,2017
21,Nissan Leaf I 24kWh (1525 kg),19.5,24.0,120.0,30.0,2010
22,Nissan Leaf I 30kWh (1525 kg),19.5,30.0,150.0,30.0,2013
23,Nissan Leaf II (1535 kg),20.0,40.0,200.0,50.0,2012
24,Nissan Leaf II 62 kWh (1730 kg),21.0,62.0,300.0,100.0,2015
25,Opel Ampera-e (1691 kg),16.5,60.0,360.0,50.0,2018
26,Opel Corsa-e (1455 kg),18.0,46.0,260.0,100.0,2018
27,Peugeot E-2008 (1548 kg),20.0,46.0,230.0,100.0,2015
28,Peugeot E-208 (1445 kg),18.0,46.0,260.0,100.0,2017
29,Peugeot IOn (1065 kg),13.0,14.5,110.0,50.0,2018
30,Peugeot Partner (1604 kg),19.0,22.5,120.0,50.0,2012
31,Porsche Taycan 4S 79 kWh (2140 kg),25.0,69.0,280.0,270.0,2019
32,Porsche Taycan 4S 93 kWh (2220 kg),25.0,83.0,330.0,270.0,2019
33,Porsche Taycan Turbo (2300 kg),26.0,83.0,320.0,270.0,2019
34,Porsche Taycan Turbo S (2300 kg),26.0,83.0,320.0,270.0,2017
35,Renault Twizy (470 kg),5.5,6.1,110.0,7.0,2016
36,Renault Zoe II R110 (1502 kg),19.5,52.0,270.0,50.0,2019
37,Renault Zoe II R135 (1502 kg),19.5,52.0,270.0,50.0,2018
38,Renault Zoe Q210 (1470 kg),19.5,22.0,110.0,43.0,2019
39,Renault Zoe Q90 (1470 kg),19.5,41.0,210.0,43.0,2017
40,Renault Zoe R110 (1470 kg),19.5,41.0,210.0,43.0,2016
41,Renault Zoe R240 (1470 kg),19.5,22.0,110.0,22.0,2019
42,Renault Zoe R75 (1470 kg),19.0,41.0,220.0,22.0,2016
43,Renault Zoe R90 (1470 kg),19.5,41.0,210.0,22.0,2019
44,Seat Mii electrique (1210 kg),16.0,37.0,230.0,40.0,2014
45,Skoda Citigo e iv (1210 kg),16.0,37.0,230.0,40.0,2017
46,Smart Fortwo ED (1100 kg),16.0,17.6,110.0,22.0,2013
