,Année,Electricité,Essence,Gazole,Hybride,GPL,Total
0,2010-12-31,187,568175,1556353,0,57892,2210186
1,2011-12-31,2630,575081,1557403,0,10381,2160928
2,2012-12-31,5661,476266,1345064,27817,1863,1857013
3,2013-12-31,8781,530292,1168193,46730,2753,1756952
4,2014-12-31,10567,589776,1119954,43153,2229,1765855
5,2015-12-31,17269,736339,1070443,60497,1516,1886229
6,2016-12-31,21758,875900,1027912,58302,300,1984471
7,2017-12-31,24910,993666,978184,81539,901,2079515
8,2018-12-31,30945,1174623,824472,106221,2150,2138600
9,2019-12-31,42262,1267024,736158,125122,2015,2172967
