,Année,Trimestre,Accessible au public,Particulier,Société,%Public,%Particulier,%Société,Time
0,2015,31-03,8478,15777,33196,0.0,0.0,0.0,2015-03-31
1,2015,30-06,10086,19314,36851,18.97,22.42,11.01,2015-06-30
2,2015,30-09,10928,22234,37903,8.35,15.12,2.85,2015-09-30
3,2015,31-12,11113,26728,42541,1.69,20.21,12.24,2015-12-31
4,2016,31-03,12830,31629,48306,15.45,18.34,13.55,2016-03-31
5,2016,30-06,13861,36161,52902,8.04,14.33,9.51,2016-06-30
6,2016,30-09,12859,39109,56530,-7.23,8.15,6.86,2016-09-30
7,2016,31-12,16220,43354,61288,26.14,10.85,8.42,2016-12-31
8,2017,31-03,17423,48707,66596,7.42,12.35,8.66,2017-03-31
9,2017,30-06,19750,53212,72582,13.36,9.25,8.99,2017-06-30
10,2017,30-09,20688,57079,78064,4.75,7.27,7.55,2017-09-30
11,2017,31-12,19309,62649,84206,-6.67,9.76,7.87,2017-12-31
12,2018,31-03,26370,68403,91277,36.57,9.18,8.4,2018-03-31
13,2018,30-06,22283,72879,98067,-15.5,6.54,7.44,2018-06-30
14,2018,30-09,24362,76006,104318,9.33,4.29,6.37,2018-09-30
15,2018,31-12,26297,84162,114322,7.94,10.73,9.59,2018-12-31
16,2019,31-03,27446,91560,141159,4.37,8.79,23.47,2019-03-31
17,2019,30-06,28910,98314,134471,5.33,7.38,-4.74,2019-06-30
18,2019,30-09,31461,106204,142625,8.82,8.03,6.06,2019-09-30
19,2019,31-12,30110,116361,154640,-4.29,9.56,8.42,2019-12-31
