,ds,y
0,2015-01-31,6061
1,2015-02-28,5235
2,2015-03-31,8478
3,2015-04-30,9574
4,2015-05-31,9383
5,2015-06-30,10086
6,2015-07-31,10801
7,2015-08-31,10731
8,2015-09-30,10928
9,2015-10-31,11007
10,2015-11-30,11072
11,2015-12-31,11113
12,2016-01-31,11242
13,2016-02-29,12720
14,2016-03-31,12830
15,2016-04-30,13579
16,2016-05-31,13338
17,2016-06-30,13861
18,2016-07-31,13249
19,2016-08-31,13140
20,2016-09-30,12859
21,2016-10-31,15063
22,2016-11-30,15161
23,2016-12-31,16220
24,2017-01-31,16577
25,2017-02-28,17134
26,2017-03-31,17423
27,2017-04-30,17675
28,2017-05-31,18091
29,2017-06-30,19750
30,2017-07-31,20675
31,2017-08-31,20148
32,2017-09-30,20688
33,2017-10-31,19871
34,2017-11-30,19889
35,2017-12-31,19309
36,2018-01-31,22358
37,2018-02-28,20062
38,2018-03-31,26370
39,2018-04-30,23810
40,2018-05-31,25833
41,2018-06-30,22283
42,2018-07-31,24171
43,2018-08-31,23393
44,2018-09-30,24362
45,2018-10-31,24503
46,2018-11-30,25779
47,2018-12-31,26297
48,2019-01-31,27328
49,2019-02-28,26616
50,2019-03-31,27446
51,2019-04-30,28275
52,2019-05-31,28783
53,2019-06-30,28910
54,2019-07-31,30830
55,2019-08-31,29226
56,2019-09-30,31461
57,2019-10-31,30319
58,2019-11-30,31398
59,2019-12-31,30110
